//X,Y,Z,Classification
0,0,0,0.0
-22988,46739,38204,0.0
-23248,46380,38756,0.0
-23267,45546,38905,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
-19245,33528,32689,0.0
-19296,32954,32848,0.0
0,0,0,0.0
-19272,31615,32946,0.0
0,0,0,0.0
-18640,29354,31990,0.0
-18630,28734,32029,0.0
-18599,28092,32030,0.0
-18612,27524,32104,0.0
-18215,26369,31468,0.0
-18058,25584,31244,0.0
-18049,25018,31270,0.0
-17818,24159,30910,0.0
-18076,23969,31396,0.0
-18048,23396,31382,0.0
-18268,23147,31800,0.0
0,0,0,0.0
-17378,21013,30309,0.0
-17273,20394,30152,0.0
-17295,19933,30216,0.0
-17387,19552,30398,0.0
0,0,0,0.0
-17682,18907,30953,0.0
-17719,18465,31036,0.0
-19283,19574,33790,0.0
-19158,18934,33587,0.0
-19111,18380,33515,0.0
-19010,17782,33349,0.0
-18949,17229,33249,0.0
-18879,16677,33135,0.0
-18857,16172,33099,0.0
-18801,15645,33005,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
-18395,13008,32278,0.0
-18341,12520,32175,0.0
0,0,0,0.0
0,0,0,0.0
-18198,11104,31890,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
-18041,9302,31549,0.0
-18171,8945,31754,0.0
-18600,8726,32483,0.0
-14663,6540,25588,0.0
-14675,6210,25588,0.0
-14639,5861,25503,0.0
-14623,5522,25452,0.0
-14584,5178,25359,0.0
-14596,4855,25355,0.0
-14522,4506,25201,0.0
-14505,4177,25143,0.0
-14480,3849,25071,0.0
-14467,3526,25017,0.0
-14425,3199,24914,0.0
-14414,2881,24863,0.0
-14378,2560,24768,0.0
-14351,2244,24686,0.0
-14352,1934,24651,0.0
-14302,1619,24529,0.0
-14286,1310,24464,0.0
-14274,1003,24404,0.0
-14249,697,24321,0.0
-14254,395,24289,0.0
-14234,93,24212,0.0
-14213,-208,24133,0.0
-14177,-506,24026,0.0
-14150,-802,23935,0.0
-14663,-1139,24754,0.0
-15033,-1483,25327,2.0
-15780,-1886,26532,2.0
-16027,-2249,26891,2.0
-16468,-2653,27569,2.0
-16556,-3011,27655,2.0
-16860,-3415,28098,2.0
-16961,-3787,28202,2.0
-17046,-4157,28274,2.0
-17111,-4525,28313,2.0
-17182,-4898,28358,2.0
-17268,-5277,28429,2.0
-17236,-5621,28301,2.0
-17229,-5971,28213,2.0
-17197,-6313,28084,2.0
-16794,-6508,27349,2.0
-16912,-6900,27462,2.0
-17042,-7300,27593,2.0
-17264,-7747,27869,2.0
-17476,-8200,28126,2.0
-17625,-8629,28278,2.0
-17556,-8954,28078,2.0
-17372,-9215,27694,2.0
-17287,-9522,27466,2.0
-17870,-10208,28298,2.0
-17936,-10611,28304,2.0
-17816,-10904,28015,2.0
-17781,-11245,27858,2.0
-17681,-11544,27601,2.0
-17548,-11815,27290,2.0
-17388,-12064,26940,2.0
-17384,-12416,26826,2.0
-17885,-13142,27490,2.0
0,0,0,0.0
-17795,-13807,27129,2.0
-17675,-14077,26833,2.0
-17611,-14389,26619,2.0
-17465,-14630,26282,2.0
-17351,-14894,25993,2.0
-17233,-15150,25698,2.0
-17018,-15314,25258,2.0
-16822,-15488,24848,2.0
-16673,-15698,24508,2.0
-16549,-15927,24205,2.0
-16415,-16142,23887,2.0
-16238,-16309,23508,2.0
-15982,-16388,23014,2.0
-15600,-16326,22342,2.0
-15289,-16324,21775,0.0
-14898,-16224,21099,0.0
-14698,-16319,20695,0.0
-14600,-16522,20436,0.0
-14740,-16998,20509,0.0
-14762,-17341,20412,0.0
-14820,-17728,20364,0.0
-14867,-18108,20298,0.0
-14925,-18503,20243,0.0
-14972,-18888,20170,0.0
-14998,-19251,20067,0.0
-15052,-19652,19997,0.0
-15094,-20043,19910,0.0
-15109,-20399,19783,0.0
-15173,-20825,19718,0.0
-15200,-21203,19601,0.0
-15282,-21664,19552,0.0
-15325,-22072,19449,0.0
-15377,-22497,19354,0.0
-15452,-22963,19284,0.0
-15508,-23403,19186,0.0
-15727,-24099,19284,0.0
-15776,-24543,19168,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
