//X,Y,Z,Classification
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-20303.0,39744.0,33949.0,0.0
-20303.0,38990.0,34047.0,0.0
-20457.0,38538.0,34400.0,0.0
-20244.0,37406.0,34132.0,0.0
-19726.0,35745.0,33343.0,0.0
-19670.0,34952.0,33332.0,0.0
-19851.0,34584.0,33718.0,0.0
-19705.0,33654.0,33546.0,0.0
-19064.0,31913.0,32524.0,0.0
-19055.0,31258.0,32575.0,0.0
-19140.0,30765.0,32786.0,0.0
-18988.0,29900.0,32586.0,0.0
-18455.0,28465.0,31728.0,0.0
0.0,0.0,0.0,0.0
-18334.0,27115.0,31626.0,0.0
-18519.0,26808.0,31994.0,0.0
-18457.0,26147.0,31932.0,0.0
0.0,0.0,0.0,0.0
-18601.0,25221.0,32267.0,0.0
-985.0,1307.0,1712.0,0.0
-20167.0,26143.0,35066.0,0.0
-20086.0,25449.0,34965.0,0.0
-20001.0,24760.0,34851.0,0.0
-19894.0,24056.0,34698.0,0.0
-19833.0,23418.0,34622.0,0.0
-19708.0,22712.0,34430.0,0.0
-19647.0,22094.0,34351.0,0.0
-19547.0,21438.0,34197.0,0.0
-19450.0,20799.0,34049.0,0.0
-19346.0,20161.0,33885.0,0.0
-19285.0,19576.0,33794.0,0.0
0.0,0.0,0.0,0.0
-19158.0,18425.0,33598.0,0.0
-19002.0,17774.0,33335.0,0.0
-18982.0,17260.0,33308.0,0.0
-13845.0,12230.0,24299.0,0.0
-13808.0,11842.0,24238.0,0.0
-13765.0,11453.0,24164.0,0.0
-13709.0,11059.0,24065.0,0.0
-13654.0,10672.0,23970.0,0.0
-13621.0,10305.0,23909.0,0.0
-13581.0,9938.0,23835.0,0.0
-13522.0,9562.0,23728.0,0.0
-13485.0,9206.0,23657.0,0.0
-13448.0,8854.0,23585.0,0.0
-13407.0,8502.0,23504.0,0.0
-13371.0,8159.0,23433.0,0.0
-13331.0,7816.0,23352.0,0.0
-13294.0,7479.0,23274.0,0.0
-13281.0,7159.0,23238.0,0.0
-13227.0,6820.0,23131.0,0.0
-13205.0,6501.0,23077.0,0.0
-13181.0,6184.0,23020.0,0.0
-13158.0,5870.0,22961.0,0.0
-13107.0,5546.0,22854.0,0.0
-13085.0,5238.0,22796.0,0.0
-13058.0,4931.0,22727.0,0.0
-13030.0,4626.0,22657.0,0.0
-13001.0,4325.0,22583.0,0.0
-12971.0,4024.0,22508.0,0.0
-12960.0,3732.0,22465.0,0.0
-12931.0,3437.0,22389.0,0.0
-12912.0,3148.0,22330.0,0.0
-12875.0,2855.0,22237.0,0.0
-12868.0,2572.0,22196.0,0.0
-12846.0,2288.0,22129.0,0.0
-13362.0,2090.0,22985.0,0.0
-13485.0,1817.0,23163.0,0.0
-14084.0,1594.0,24155.0,0.0
-14578.0,1337.0,24963.0,0.0
-18958.0,1333.0,32411.0,2.0
-18978.0,929.0,32392.0,2.0
-18951.0,524.0,32292.0,2.0
-19016.0,124.0,32346.0,2.0
0.0,0.0,0.0,0.0
-19315.0,-689.0,32735.0,2.0
-19401.0,-1100.0,32817.0,2.0
0.0,0.0,0.0,0.0
-19684.0,-1941.0,33164.0,2.0
-19713.0,-2356.0,33144.0,2.0
-19845.0,-2785.0,33295.0,2.0
0.0,0.0,0.0,0.0
-19894.0,-3618.0,33232.0,2.0
-20002.0,-4052.0,33335.0,2.0
-20047.0,-4475.0,33331.0,2.0
-20158.0,-4916.0,33437.0,2.0
-20153.0,-5329.0,33345.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-20269.0,-6610.0,33281.0,2.0
-20363.0,-7058.0,33346.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-20359.0,-8306.0,33060.0,2.0
0.0,0.0,0.0,0.0
-20326.0,-9122.0,32813.0,2.0
0.0,0.0,0.0,0.0
-20210.0,-9895.0,32425.0,2.0
-20180.0,-10292.0,32274.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-20134.0,-11501.0,31882.0,2.0
0.0,0.0,0.0,0.0
-20012.0,-12249.0,31469.0,2.0
-19864.0,-12563.0,31122.0,2.0
-19837.0,-12951.0,30967.0,2.0
-19859.0,-13372.0,30884.0,2.0
-19655.0,-13637.0,30451.0,2.0
-19713.0,-14081.0,30423.0,2.0
-19613.0,-14412.0,30148.0,2.0
-19440.0,-14683.0,29758.0,2.0
-19413.0,-15062.0,29595.0,2.0
-19324.0,-15390.0,29334.0,2.0
-19160.0,-15655.0,28960.0,2.0
-19007.0,-15922.0,28601.0,2.0
-18984.0,-16295.0,28439.0,2.0
-18837.0,-16560.0,28090.0,2.0
-18697.0,-16826.0,27751.0,2.0
-18709.0,-17225.0,27637.0,2.0
-18534.0,-17451.0,27244.0,2.0
-18451.0,-17758.0,26988.0,2.0
-18294.0,-17989.0,26621.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-17810.0,-18640.0,25507.0,2.0
-17811.0,-19017.0,25366.0,2.0
-17844.0,-19433.0,25271.0,2.0
-1143.0,-1270.0,1611.0,0.0
0.0,0.0,0.0,0.0
-17546.0,-20232.0,24412.0,2.0
-17432.0,-20477.0,24104.0,2.0
-17313.0,-20711.0,23789.0,2.0
-17241.0,-20999.0,23539.0,2.0
-15054.0,-18664.0,20418.0,0.0
-14722.0,-18574.0,19834.0,0.0
-14372.0,-18448.0,19229.0,0.0
-14104.0,-18415.0,18738.0,0.0
-13994.0,-18581.0,18459.0,0.0
-13663.0,-18447.0,17890.0,0.0
-13549.0,-18596.0,17607.0,0.0
-13601.0,-18973.0,17539.0,0.0
-13623.0,-19312.0,17430.0,0.0
-38.0,-54.0,48.0,0.0
-46.0,-69.0,59.0,0.0
-48.0,-72.0,60.0,0.0
-51.0,-77.0,63.0,0.0
-46.0,-71.0,58.0,0.0
-60.0,-95.0,74.0,0.0
-65.0,-104.0,80.0,0.0
-67.0,-108.0,80.0,0.0
-58.0,-95.0,69.0,0.0
-64.0,-107.0,75.0,0.0
-68.0,-114.0,79.0,0.0
-76.0,-128.0,87.0,0.0
-74.0,-127.0,83.0,0.0
-77.0,-134.0,86.0,0.0
-78.0,-141.0,87.0,0.0
-73.0,-133.0,81.0,0.0
-76.0,-140.0,83.0,0.0
-78.0,-145.0,84.0,0.0
-83.0,-156.0,87.0,0.0
-87.0,-166.0,90.0,0.0
-87.0,-169.0,89.0,0.0
-83.0,-163.0,84.0,0.0
-90.0,-180.0,90.0,0.0
-87.0,-177.0,86.0,0.0
-87.0,-178.0,84.0,0.0
-88.0,-181.0,84.0,0.0
-89.0,-185.0,83.0,0.0
-92.0,-194.0,84.0,0.0
-92.0,-198.0,83.0,0.0
-94.0,-204.0,83.0,0.0
-89.0,-198.0,78.0,0.0
-98.0,-218.0,83.0,0.0
-107.0,-243.0,89.0,0.0
-113.0,-260.0,93.0,0.0
-114.0,-266.0,91.0,0.0
-110.0,-260.0,86.0,0.0
-108.0,-258.0,82.0,0.0
-107.0,-261.0,80.0,0.0
-105.0,-258.0,76.0,0.0
-102.0,-252.0,71.0,0.0
-100.0,-252.0,68.0,0.0
-98.0,-249.0,64.0,0.0
-100.0,-260.0,64.0,0.0
-98.0,-258.0,61.0,0.0
-101.0,-267.0,60.0,0.0
-99.0,-264.0,56.0,0.0
-98.0,-267.0,54.0,0.0
-23275.0,49295.0,39733.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-19776.0,39561.0,34060.0,0.0
-19662.0,38583.0,33955.0,0.0
-19823.0,38154.0,34324.0,0.0
-19141.0,36131.0,33227.0,0.0
-19220.0,35576.0,33445.0,0.0
-19059.0,34590.0,33242.0,0.0
-19142.0,34056.0,33460.0,0.0
-18500.0,32264.0,32408.0,0.0
-18592.0,31778.0,32635.0,0.0
-18470.0,30933.0,32483.0,0.0
-18535.0,30413.0,32657.0,0.0
-18357.0,29507.0,32402.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-17814.0,26311.0,31638.0,0.0
-17981.0,25989.0,31978.0,0.0
-18046.0,25518.0,32136.0,0.0
-18150.0,25103.0,32358.0,0.0
-19674.0,26607.0,35115.0,0.0
-19565.0,25866.0,34958.0,0.0
-19512.0,25209.0,34896.0,0.0
-19447.0,24547.0,34813.0,0.0
-19333.0,23834.0,34639.0,0.0
-19263.0,23185.0,34540.0,0.0
-19211.0,22567.0,34470.0,0.0
-19083.0,21872.0,34265.0,0.0
